,location,total_sqft,bath,price,bhk
1367,Electronic City,1213.0,2.0,59.32,2
1368,Electronic City,435.0,1.0,19.5,1
1369,Electronic City,1125.0,2.0,58.0,2
1370,Electronic City,1090.0,2.0,35.03,2
1371,Electronic City,919.0,2.0,40.0,2
1372,Electronic City,1500.0,2.0,78.25,3
1373,Electronic City,1156.0,2.0,42.0,2
1374,Electronic City,1060.0,2.0,51.0,2
1375,Electronic City,1025.0,2.0,49.0,2
1376,Electronic City,1070.0,2.0,58.0,2
1377,Electronic City,1210.0,2.0,54.0,2
1378,Electronic City,1500.0,2.0,75.0,3
1379,Electronic City,1070.0,2.0,52.0,2
1380,Electronic City,2435.0,4.0,119.0,4
1381,Electronic City,919.0,2.0,34.0,2
1382,Electronic City,1500.0,2.0,78.0,3
1383,Electronic City,1070.0,2.0,47.0,2
1384,Electronic City,1296.0,2.0,65.0,2
1385,Electronic City,1096.0,2.0,40.55,2
1386,Electronic City,1110.0,2.0,39.95,2
1387,Electronic City,2093.0,4.0,104.0,4
1388,Electronic City,1025.0,2.0,53.9,2
1389,Electronic City,435.0,1.0,21.0,1
1390,Electronic City,1500.0,2.0,77.5,3
1391,Electronic City,1631.0,3.0,80.0,3
1392,Electronic City,1355.0,2.0,67.0,2
1393,Electronic City,1175.0,2.0,47.0,2
1394,Electronic City,435.0,1.0,22.0,1
1395,Electronic City,1500.0,2.0,63.0,3
1396,Electronic City,1039.0,2.0,50.0,2
1397,Electronic City,770.0,1.0,39.9,2
1398,Electronic City,919.0,2.0,35.0,2
1399,Electronic City,1159.0,2.0,38.0,3
1400,Electronic City,1070.0,2.0,53.0,2
1401,Electronic City,2400.0,2.0,78.0,3
1402,Electronic City,1571.0,3.0,83.0,3
1403,Electronic City,1350.0,3.0,66.0,3
1404,Electronic City,1050.0,2.0,39.0,3
1405,Electronic City,635.0,1.0,28.0,1
1406,Electronic City,1096.0,2.0,39.0,2
1407,Electronic City,1150.0,2.0,38.0,2
1408,Electronic City,1355.0,2.0,72.9,2
1409,Electronic City,770.0,1.0,35.0,2
1410,Electronic City,865.0,2.0,40.0,2
1411,Electronic City,800.0,2.0,32.0,2
1412,Electronic City,970.0,2.0,34.0,2
1413,Electronic City,1100.0,2.0,41.0,2
1414,Electronic City,975.0,2.0,32.0,2
1415,Electronic City,605.0,1.0,22.0,1
1416,Electronic City,1070.0,2.0,48.0,2
1417,Electronic City,1160.0,2.0,42.0,3
1418,Electronic City,1360.0,2.0,70.0,3
1419,Electronic City,635.0,1.0,28.0,1
1420,Electronic City,890.0,2.0,40.0,2
1421,Electronic City,825.0,2.0,35.0,2
1422,Electronic City,1200.0,2.0,40.5,2
1423,Electronic City,1360.0,2.0,58.0,3
1424,Electronic City,630.0,1.0,33.7,1
1425,Electronic City,1160.0,2.0,42.0,3
1426,Electronic City,1287.0,3.0,55.0,3
1427,Electronic City,550.0,1.0,27.0,1
1428,Electronic City,1025.0,2.0,50.0,2
1429,Electronic City,1070.0,2.0,55.0,2
1430,Electronic City,1342.0,2.0,72.0,2
1431,Electronic City,1275.0,3.0,70.0,3
1432,Electronic City,770.0,1.0,38.0,2
1433,Electronic City,1005.0,2.0,39.77,2
1434,Electronic City,1110.0,2.0,39.9,2
1435,Electronic City,660.0,1.0,23.0,2
1436,Electronic City,1250.0,2.0,62.0,2
1437,Electronic City,1060.0,2.0,55.0,2
1438,Electronic City,1275.0,3.0,63.43,3
1439,Electronic City,1518.0,3.0,75.0,3
1440,Electronic City,1060.0,2.0,55.0,2
1441,Electronic City,1353.0,2.0,75.0,2
1442,Electronic City,1070.0,2.0,57.0,2
1443,Electronic City,1700.0,3.0,90.0,3
1444,Electronic City,1521.0,2.0,57.5,3
1445,Electronic City,750.0,1.0,35.0,1
1446,Electronic City,1210.0,2.0,55.0,2
1447,Electronic City,1190.0,2.0,42.0,2
1448,Electronic City,1150.0,2.0,38.08,2
1449,Electronic City,970.0,2.0,35.0,2
1450,Electronic City,1500.0,3.0,73.0,3
1451,Electronic City,995.0,2.0,48.0,2
1452,Electronic City,589.0,1.0,29.0,1
1453,Electronic City,825.0,2.0,30.0,2
1454,Electronic City,1070.0,2.0,48.0,2
1455,Electronic City,1025.0,2.0,54.0,2
1456,Electronic City,1500.0,2.0,70.0,3
1457,Electronic City,1500.0,2.0,64.5,3
1458,Electronic City,1355.0,2.0,73.0,2
1459,Electronic City,1360.0,2.0,64.99,3
1460,Electronic City,1060.0,2.0,52.0,2
1461,Electronic City Phase II,1056.0,2.0,39.07,2
1462,Electronic City Phase II,1020.0,2.0,30.6,2
1463,Electronic City Phase II,1069.0,2.0,45.0,2
1464,Electronic City Phase II,630.0,1.0,28.35,1
1465,Electronic City Phase II,1220.0,2.0,35.23,3
1466,Electronic City Phase II,1090.0,2.0,28.34,2
1467,Electronic City Phase II,2225.0,4.0,98.88,4
1468,Electronic City Phase II,1400.0,2.0,40.43,3
1469,Electronic City Phase II,1000.0,2.0,28.88,2
1470,Electronic City Phase II,1320.0,2.0,38.13,3
1471,Electronic City Phase II,1220.0,3.0,35.23,3
1472,Electronic City Phase II,1400.0,2.0,40.43,3
1473,Electronic City Phase II,1003.0,2.0,40.6,2
1474,Electronic City Phase II,1320.0,2.0,38.12,3
1475,Electronic City Phase II,1395.0,2.0,62.78,3
1476,Electronic City Phase II,1160.0,2.0,33.5,2
1477,Electronic City Phase II,1065.0,2.0,30.75,2
1478,Electronic City Phase II,1400.0,2.0,41.58,3
1479,Electronic City Phase II,1000.0,2.0,28.88,2
1480,Electronic City Phase II,1400.0,2.0,40.43,3
1481,Electronic City Phase II,900.0,2.0,32.5,2
1482,Electronic City Phase II,1329.0,2.0,41.0,3
1483,Electronic City Phase II,1220.0,3.0,35.23,3
1484,Electronic City Phase II,1418.0,3.0,52.47,3
1485,Electronic City Phase II,1070.0,2.0,45.0,2
1486,Electronic City Phase II,1310.0,2.0,37.83,3
1487,Electronic City Phase II,1140.0,2.0,33.06,2
1488,Electronic City Phase II,1400.0,2.0,40.44,3
1489,Electronic City Phase II,1160.0,2.0,33.5,2
1490,Electronic City Phase II,6000.0,4.0,260.0,4
1491,Electronic City Phase II,1116.0,2.0,37.0,2
1492,Electronic City Phase II,1125.0,2.0,29.25,2
1493,Electronic City Phase II,1000.0,2.0,28.88,2
1494,Electronic City Phase II,1000.0,2.0,28.88,2
1495,Electronic City Phase II,1000.0,2.0,28.88,2
1496,Electronic City Phase II,1165.0,2.0,30.29,2
1497,Electronic City Phase II,5300.0,2.0,167.5,4
1498,Electronic City Phase II,1611.0,2.0,48.33,3
1499,Electronic City Phase II,1065.0,2.0,30.88,2
1500,Electronic City Phase II,1220.0,3.0,36.6,3
1501,Electronic City Phase II,1320.0,2.0,38.13,3
1502,Electronic City Phase II,920.0,2.0,26.0,2
1503,Electronic City Phase II,1140.0,2.0,33.84,2
1504,Electronic City Phase II,1125.0,2.0,32.49,2
1505,Electronic City Phase II,1310.0,2.0,37.83,3
1506,Electronic City Phase II,1220.0,2.0,36.21,3
1507,Electronic City Phase II,1140.0,2.0,32.92,2
1508,Electronic City Phase II,1116.0,2.0,40.0,2
1509,Electronic City Phase II,1150.0,3.0,46.0,3
1510,Electronic City Phase II,1192.0,2.0,47.0,3
1511,Electronic City Phase II,1502.0,3.0,50.0,3
1512,Electronic City Phase II,1020.0,2.0,32.0,2
1513,Electronic City Phase II,1020.0,2.0,27.43,2
1514,Electronic City Phase II,1025.0,2.0,26.65,2
1515,Electronic City Phase II,1020.0,2.0,29.45,2
1516,Electronic City Phase II,1000.0,2.0,28.88,2
1517,Electronic City Phase II,1310.0,2.0,37.84,3
1518,Electronic City Phase II,1125.0,2.0,32.49,2
1519,Electronic City Phase II,1200.0,2.0,34.65,2
1520,Electronic City Phase II,1160.0,2.0,52.2,2
1521,Electronic City Phase II,1244.0,2.0,55.0,2
1522,Electronic City Phase II,1160.0,2.0,33.51,2
1523,Electronic City Phase II,1220.0,3.0,35.25,3
1524,Electronic City Phase II,1625.0,2.0,48.75,3
1525,Electronic City Phase II,972.0,2.0,40.0,2
1526,Electronic City Phase II,1160.0,2.0,33.51,2
1527,Electronic City Phase II,1400.0,2.0,40.45,3
1528,Electronic City Phase II,1090.0,2.0,31.48,2
1529,Electronic City Phase II,1140.0,2.0,32.92,2
1530,Electronic City Phase II,1160.0,2.0,33.5,2
1531,Electronic City Phase II,1025.0,2.0,29.6,2
1532,Electronic City Phase II,829.0,2.0,22.8,2
1533,Electronic City Phase II,3262.5,4.0,105.0,4
1534,Electronic City Phase II,1320.0,2.0,38.12,3
1535,Electronic City Phase II,1125.0,2.0,32.63,2
1536,Electronic City Phase II,1140.0,2.0,34.0,2
1537,Electronic City Phase II,1310.0,2.0,37.84,3
1538,Electronic City Phase II,1400.0,2.0,40.43,3
1539,Electronic City Phase II,1135.0,2.0,46.0,2
1540,Electronic City Phase II,1165.0,2.0,33.64,2
1541,Electronic City Phase II,1400.0,2.0,40.44,3
1542,Electronic City Phase II,1336.0,2.0,50.35,3
1543,Electronic City Phase II,575.0,1.0,16.75,1
1544,Electronic City Phase II,1065.0,2.0,30.76,2
1545,Electronic City Phase II,1065.0,2.0,30.75,2
1546,Electronic City Phase II,1140.0,2.0,33.06,2
1547,Electronic City Phase II,911.0,2.0,26.5,2
1548,Electronic City Phase II,1200.0,2.0,34.65,2
1549,Electronic City Phase II,1310.0,2.0,37.83,3
1550,Electronic City Phase II,1651.0,3.0,49.53,3
1551,Electronics City Phase 1,1070.0,2.0,45.5,2
1552,Electronics City Phase 1,1475.0,3.0,78.29,3
1553,Electronics City Phase 1,1490.0,3.0,78.8,3
1554,Electronics City Phase 1,1113.27,2.0,53.0,2
1555,Electronics City Phase 1,1175.0,2.0,51.47,2
1556,Electronics City Phase 1,1160.0,2.0,52.0,2
1557,Electronics City Phase 1,1750.0,3.0,84.0,3
1558,Electronics City Phase 1,940.0,2.0,40.0,2
1559,Electronics City Phase 1,1595.0,3.0,75.0,3
1560,Electronics City Phase 1,1515.0,2.0,80.91,3
1561,Electronics City Phase 1,995.0,2.0,46.0,2
1562,Electronics City Phase 1,1555.0,2.0,82.0,3
1563,Electronics City Phase 1,1124.0,2.0,55.0,3
1564,Electronics City Phase 1,1175.0,2.0,57.0,2
1565,Electronics City Phase 1,580.0,1.0,27.0,1
1566,Electronics City Phase 1,940.0,2.0,49.0,2
1567,Electronics City Phase 1,1335.0,2.0,67.0,2
1568,Electronics City Phase 1,1113.12,2.0,55.0,2
1569,Electronics City Phase 1,1350.0,3.0,71.0,3
1570,Electronics City Phase 1,995.0,2.0,49.8,2
1571,Electronics City Phase 1,1085.0,2.0,46.0,2
1572,Electronics City Phase 1,1450.0,3.0,72.54,3
1573,Electronics City Phase 1,360.0,1.0,16.9,1
1574,Electronics City Phase 1,638.0,1.0,32.0,1
1575,Electronics City Phase 1,1200.0,2.0,59.76,2
1576,Electronics City Phase 1,1145.0,2.0,54.0,2
1577,Electronics City Phase 1,1550.0,2.0,82.0,3
1578,Electronics City Phase 1,1175.0,2.0,50.0,2
1579,Electronics City Phase 1,865.0,2.0,40.0,2
1580,Electronics City Phase 1,1450.0,3.0,70.0,3
1581,Electronics City Phase 1,1450.0,2.0,63.51,3
1582,Electronics City Phase 1,1800.0,3.0,93.0,3
1583,Electronics City Phase 1,1314.0,2.0,60.0,2
1584,Electronics City Phase 1,1170.0,2.0,62.0,2
1585,Electronics City Phase 1,940.0,2.0,48.0,2
1586,Electronics City Phase 1,940.0,2.0,44.0,2
1587,Electronics City Phase 1,1300.0,2.0,67.0,2
1588,Electronics City Phase 1,1028.0,2.0,51.0,2
1589,Electronics City Phase 1,1080.0,2.0,46.0,2
1590,Electronics City Phase 1,1205.0,2.0,60.0,2
1591,Electronics City Phase 1,1900.0,3.0,85.0,3
1592,Electronics City Phase 1,1305.0,2.0,67.0,2
1593,Electronics City Phase 1,1175.0,2.0,60.0,2
1594,Frazer Town,1700.0,3.0,180.0,3
1595,Frazer Town,1870.0,3.0,185.0,3
1596,Frazer Town,1750.0,3.0,150.0,3
1597,Frazer Town,2000.0,3.0,200.0,3
1598,Frazer Town,3500.0,4.0,330.0,3
1599,Frazer Town,1550.0,2.0,140.0,2
1600,Frazer Town,2560.0,3.0,265.0,3
1601,Frazer Town,2400.0,3.0,260.0,3
1602,Frazer Town,3436.0,5.0,341.0,4
1603,Frazer Town,4856.0,5.0,410.0,4
1604,Frazer Town,1315.0,2.0,140.0,2
1605,Frazer Town,1706.0,3.0,154.0,3
1606,Frazer Town,2079.0,3.0,220.0,3
1607,Frazer Town,3435.0,2.0,341.0,4
1608,Frazer Town,3436.0,5.0,345.0,4
1609,Frazer Town,1180.0,2.0,105.0,2
1610,Frazer Town,1870.0,3.0,180.0,3
1611,Frazer Town,1420.0,2.0,120.0,2
1612,GM Palaya,1820.0,2.0,86.0,3
1613,GM Palaya,1140.0,2.0,48.95,2
1614,GM Palaya,1315.0,3.0,64.0,3
1615,GM Palaya,1643.0,2.0,70.0,3
1616,Garudachar Palya,1325.0,2.0,60.8,3
1617,Garudachar Palya,1060.0,2.0,48.7,2
1618,Garudachar Palya,1150.0,2.0,52.75,2
1619,Garudachar Palya,1295.0,2.0,59.5,3
1620,Garudachar Palya,1320.0,2.0,60.6,3
1621,Garudachar Palya,1295.0,2.0,59.5,3
1622,Garudachar Palya,1150.0,2.0,52.8,2
1623,Garudachar Palya,1150.0,2.0,52.8,2
1624,Garudachar Palya,1060.0,2.0,48.5,2
1625,Garudachar Palya,1150.0,2.0,52.5,2
1626,Garudachar Palya,1325.0,2.0,60.8,3
1627,Garudachar Palya,1060.0,2.0,48.66,2
1628,Giri Nagar,2400.0,4.0,400.0,4
1629,Giri Nagar,1350.0,3.0,240.0,3
1630,Giri Nagar,2400.0,4.0,400.0,4
1631,Giri Nagar,2400.0,6.0,400.0,6
1632,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
1633,Gollarapalya Hosahalli,861.0,2.0,36.5,2
1634,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
1635,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
1636,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
1637,Gottigere,1100.0,2.0,40.0,2
1638,Gottigere,967.0,2.0,45.0,2
1639,Gottigere,950.0,2.0,38.0,2
1640,Gottigere,1153.0,2.0,48.5,2
1641,Gottigere,2000.0,4.0,82.0,4
1642,Gottigere,1460.0,2.0,65.0,3
1643,Gottigere,1500.0,3.0,70.0,3
1644,Gottigere,1621.0,3.0,72.0,3
1645,Gottigere,990.0,2.0,40.0,2
1646,Gottigere,1385.0,3.0,64.0,3
1647,Gottigere,1385.0,2.0,50.0,3
1648,Gottigere,1435.0,2.0,62.0,3
1649,Gottigere,945.0,2.0,45.0,2
1650,Gottigere,1230.0,2.0,52.0,3
1651,Gottigere,1120.0,2.0,50.0,2
1652,Gottigere,1500.0,3.0,63.0,3
1653,Gottigere,1280.0,2.0,61.0,2
1654,Gottigere,1205.0,2.0,56.58,2
1655,Gottigere,3000.0,3.0,132.0,4
1656,Gottigere,1613.0,3.0,72.0,3
1657,Gottigere,1245.0,2.0,59.0,2
1658,Gottigere,1200.0,2.0,50.0,2
1659,Green Glen Layout,3250.0,4.0,230.0,4
1660,Green Glen Layout,3250.0,4.0,230.0,4
1661,Green Glen Layout,1715.0,3.0,115.0,3
1662,Green Glen Layout,1751.0,2.0,115.0,3
1663,Green Glen Layout,1530.0,3.0,105.0,3
1664,Green Glen Layout,1645.0,3.0,110.0,3
1665,Green Glen Layout,1517.0,3.0,100.0,3
1666,Green Glen Layout,3150.0,4.0,218.0,4
1667,Green Glen Layout,3270.0,4.0,205.0,4
1668,Green Glen Layout,1750.0,3.0,120.0,3
1669,Green Glen Layout,1751.0,3.0,115.0,3
1670,Green Glen Layout,1715.0,3.0,120.0,3
1671,Green Glen Layout,1623.29,2.0,105.0,3
1672,Green Glen Layout,1715.0,3.0,115.0,3
1673,Green Glen Layout,1715.0,3.0,105.0,3
1674,Green Glen Layout,1600.0,3.0,105.0,3
1675,Green Glen Layout,1715.0,3.0,112.0,3
1676,Gubbalala,1470.0,2.0,82.0,3
1677,Gubbalala,1745.0,3.0,104.0,3
1678,Gubbalala,2570.0,4.0,141.0,5
1679,Gubbalala,1205.0,2.0,70.0,2
1680,Gubbalala,1435.0,2.0,80.0,3
1681,Gubbalala,1475.0,2.0,80.0,2
1682,Gubbalala,4000.0,5.0,195.0,4
1683,Gunjur,1140.0,2.0,43.0,2
1684,Gunjur,1600.0,3.0,75.0,3
1685,Gunjur,2000.0,3.0,95.0,4
1686,Gunjur,1140.0,2.0,49.11,2
1687,Gunjur,1195.0,2.0,44.0,2
1688,Gunjur,1457.0,2.0,60.0,2
1689,Gunjur,1080.0,2.0,41.0,2
1690,Gunjur,2132.0,3.0,80.0,3
1691,Gunjur,1800.0,3.0,70.0,3
1692,Gunjur,1175.0,2.0,43.48,2
1693,Gunjur,1362.0,3.0,62.63,3
1694,Gunjur,1071.0,2.0,51.0,2
1695,Gunjur,1063.0,2.0,40.0,2
1696,Gunjur,1235.0,2.0,52.76,2
1697,Gunjur,1362.0,3.0,62.63,3
1698,Gunjur,1362.0,3.0,62.63,3
1699,Gunjur,1457.0,2.0,60.0,2
1700,HAL 2nd Stage,1490.0,2.0,300.0,3
1701,HAL 2nd Stage,600.0,3.0,145.0,2
1702,HBR Layout,2800.0,2.0,200.0,3
1703,HBR Layout,1722.0,3.0,95.0,3
1704,HBR Layout,1783.0,3.0,125.0,3
1705,HBR Layout,1656.0,3.0,90.0,3
1706,HBR Layout,1089.0,2.0,60.0,2
1707,HBR Layout,1700.0,3.0,110.0,3
1708,HBR Layout,1198.0,2.0,65.0,2
1709,HBR Layout,1832.0,3.0,160.0,3
1710,HRBR Layout,1374.0,2.0,95.0,2
1711,HRBR Layout,1440.0,2.0,98.0,2
1712,HRBR Layout,1567.0,3.0,90.0,3
1713,HRBR Layout,1210.0,2.0,75.0,2
1714,HRBR Layout,1265.0,2.0,78.0,2
1715,HRBR Layout,1170.0,2.0,75.0,2
1716,HRBR Layout,1335.0,2.0,87.0,3
1717,HRBR Layout,1625.0,3.0,120.0,3
1718,HRBR Layout,1145.0,2.0,68.5,2
1719,HRBR Layout,1300.0,2.0,90.0,2
1720,HSR Layout,1400.0,3.0,56.0,3
1721,HSR Layout,1372.0,2.0,68.0,2
1722,HSR Layout,1430.0,2.0,65.0,3
1723,HSR Layout,1475.0,3.0,75.0,3
1724,HSR Layout,1140.0,2.0,46.0,2
1725,HSR Layout,1372.0,2.0,61.0,2
1726,HSR Layout,1750.0,3.0,95.0,3
1727,HSR Layout,1027.0,2.0,44.0,2
1728,HSR Layout,1140.0,2.0,46.0,2
1729,HSR Layout,1372.0,2.0,61.0,2
1730,HSR Layout,1140.0,2.0,46.0,2
1731,HSR Layout,1185.0,2.0,60.0,2
1732,HSR Layout,1145.0,2.0,48.0,2
1733,HSR Layout,1009.0,2.0,56.0,2
1734,HSR Layout,1140.0,2.0,46.0,2
1735,HSR Layout,1360.0,2.0,53.0,3
1736,HSR Layout,1140.0,2.0,46.0,2
1737,HSR Layout,1145.0,2.0,46.0,2
1738,HSR Layout,1142.0,2.0,65.0,2
1739,HSR Layout,1145.0,2.0,46.0,2
1740,HSR Layout,1844.0,3.0,95.0,3
1741,HSR Layout,1140.0,2.0,46.0,2
1742,HSR Layout,1140.0,2.0,46.0,2
1743,HSR Layout,1145.0,2.0,46.0,2
1744,HSR Layout,1009.0,2.0,56.0,2
1745,HSR Layout,1145.0,2.0,46.0,2
1746,HSR Layout,1100.0,2.0,44.0,2
1747,HSR Layout,1203.0,2.0,60.0,2
1748,HSR Layout,1140.0,2.0,46.0,2
1749,HSR Layout,1289.0,2.0,70.0,2
1750,HSR Layout,1844.0,3.0,89.0,3
1751,HSR Layout,1203.0,2.0,60.0,2
1752,HSR Layout,1140.0,2.0,46.0,2
1753,Haralur Road,1240.0,2.0,70.0,2
1754,Haralur Road,1027.0,2.0,44.0,2
1755,Haralur Road,1464.0,3.0,56.0,3
1756,Haralur Road,2805.0,5.0,154.0,4
1757,Haralur Road,1194.0,2.0,47.0,2
1758,Haralur Road,1202.0,2.0,53.0,2
1759,Haralur Road,1056.0,2.0,61.0,2
1760,Haralur Road,1464.0,3.0,56.0,3
1761,Haralur Road,1810.0,3.0,100.0,3
1762,Haralur Road,1194.0,2.0,46.0,2
1763,Haralur Road,2805.0,4.0,154.0,4
1764,Haralur Road,1225.0,2.0,67.38,2
1765,Haralur Road,1027.0,2.0,44.0,2
1766,Haralur Road,1875.0,3.0,110.0,3
1767,Haralur Road,1194.0,2.0,47.0,2
1768,Haralur Road,1027.0,2.0,44.0,2
1769,Haralur Road,1194.0,2.0,46.0,2
1770,Haralur Road,1875.0,3.0,110.0,3
1771,Haralur Road,1092.0,2.0,44.0,2
1772,Haralur Road,2475.0,4.0,130.0,3
1773,Haralur Road,1300.0,2.0,73.0,2
1774,Haralur Road,1194.0,2.0,47.0,2
1775,Haralur Road,1225.0,2.0,67.38,2
1776,Haralur Road,1464.0,2.0,56.0,2
1777,Haralur Road,1000.0,2.0,44.0,2
1778,Haralur Road,4587.5,2.0,175.0,4
1779,Haralur Road,1444.0,2.0,80.0,3
1780,Haralur Road,1027.0,2.0,44.0,2
1781,Haralur Road,1464.0,3.0,56.0,3
1782,Haralur Road,1225.0,2.0,70.0,2
1783,Haralur Road,1464.0,3.0,56.0,3
1784,Haralur Road,1194.0,2.0,46.0,2
1785,Haralur Road,1830.0,3.0,101.0,3
1786,Haralur Road,1464.0,2.0,56.0,2
1787,Haralur Road,1300.0,2.0,75.0,2
1788,Haralur Road,1027.0,2.0,44.0,2
1789,Haralur Road,2805.0,5.0,160.0,4
1790,Haralur Road,1027.0,2.0,44.0,2
1791,Haralur Road,2017.0,3.0,105.0,3
1792,Haralur Road,1300.0,2.0,60.0,2
1793,Haralur Road,1056.0,2.0,60.0,2
1794,Haralur Road,1245.0,2.0,62.0,2
1795,Haralur Road,1140.0,2.0,58.0,2
1796,Haralur Road,1027.0,2.0,43.0,2
1797,Haralur Road,1194.0,2.0,47.0,2
1798,Haralur Road,1194.0,2.0,47.0,2
1799,Haralur Road,1560.0,3.0,90.0,3
1800,Haralur Road,1520.0,2.0,85.0,3
1801,Haralur Road,1027.0,2.0,44.0,2
1802,Haralur Road,1194.0,2.0,46.0,2
1803,Haralur Road,1580.0,3.0,73.0,3
1804,Haralur Road,1194.0,2.0,47.0,2
1805,Haralur Road,2805.0,4.0,154.0,4
1806,Haralur Road,1510.0,3.0,83.05,3
1807,Haralur Road,1810.0,3.0,100.0,3
1808,Haralur Road,1194.0,2.0,46.0,2
1809,Haralur Road,1194.0,2.0,46.0,2
1810,Haralur Road,1194.0,2.0,47.0,2
1811,Haralur Road,1194.0,2.0,47.0,2
1812,Haralur Road,1464.0,3.0,56.0,3
1813,Haralur Road,1710.0,3.0,85.0,3
1814,Haralur Road,1730.0,3.0,95.0,3
1815,Haralur Road,1225.0,2.0,67.48,2
1816,Haralur Road,1225.0,2.0,69.84,2
1817,Haralur Road,1200.0,2.0,46.0,2
1818,Haralur Road,1976.0,3.0,92.0,3
1819,Haralur Road,1300.0,2.0,75.0,2
1820,Haralur Road,1027.0,1.0,44.0,2
1821,Haralur Road,1300.0,2.0,75.0,2
1822,Haralur Road,1890.0,3.0,84.0,3
1823,Haralur Road,1230.0,2.0,67.65,2
1824,Haralur Road,1194.0,2.0,46.0,2
1825,Haralur Road,1092.0,2.0,44.0,2
1826,Haralur Road,1464.0,3.0,56.0,3
1827,Haralur Road,1735.0,3.0,97.0,3
1828,Haralur Road,1810.0,3.0,97.83,3
1829,Haralur Road,1200.0,2.0,46.0,2
1830,Harlur,1174.0,2.0,69.0,2
1831,Harlur,1197.0,2.0,84.0,2
1832,Harlur,1174.0,2.0,76.0,2
1833,Harlur,1754.0,3.0,125.0,3
1834,Harlur,1290.0,2.0,85.0,2
1835,Harlur,1752.12,3.0,116.0,3
1836,Harlur,1754.0,3.0,124.0,3
1837,Harlur,1152.0,2.0,69.0,2
1838,Harlur,1290.0,2.0,87.0,2
1839,Harlur,1749.0,3.0,115.0,3
1840,Harlur,2240.0,5.0,155.0,3
1841,Harlur,1884.0,4.0,120.0,4
1842,Harlur,1197.0,2.0,79.0,2
1843,Harlur,1174.0,2.0,78.0,2
1844,Harlur,1730.0,3.0,100.0,3
1845,Harlur,1197.0,2.0,79.0,2
1846,Harlur,1749.0,3.0,112.0,3
1847,Harlur,1174.0,2.0,75.0,2
1848,Harlur,1620.0,3.0,110.0,3
1849,Harlur,1630.0,3.0,95.1,3
1850,Harlur,1755.0,3.0,130.0,3
1851,Harlur,1331.0,2.0,88.0,2
1852,Harlur,1756.0,3.0,128.0,3
1853,Harlur,1749.0,3.0,120.0,3
1854,Harlur,1197.0,2.0,82.0,2
1855,Harlur,1303.0,2.0,90.0,2
1856,Harlur,1174.0,2.0,75.0,2
1857,Harlur,1197.0,2.0,78.0,2
1858,Harlur,1290.0,2.0,89.9,2
1859,Harlur,1386.0,2.0,85.0,2
1860,Harlur,1174.0,2.0,74.0,2
1861,Harlur,1174.0,2.0,78.0,2
1862,Harlur,1755.0,3.0,115.0,3
1863,Harlur,2569.0,4.0,175.0,4
1864,Harlur,1197.0,2.0,77.0,2
1865,Harlur,1752.12,3.0,125.0,3
1866,Harlur,2569.0,5.0,180.0,4
1867,Harlur,1197.0,2.0,76.0,2
1868,Harlur,1197.0,2.0,75.0,2
1869,Harlur,1755.0,3.0,117.0,3
1870,Harlur,1197.0,2.0,79.9,2
1871,Harlur,1370.0,2.0,88.0,2
1872,Hebbal,1760.0,2.0,123.0,3
1873,Hebbal,7145.0,4.0,477.0,4
1874,Hebbal,1900.0,3.0,119.0,3
1875,Hebbal,1349.0,2.0,98.2,2
1876,Hebbal,1760.0,2.0,130.0,3
1877,Hebbal,3450.0,5.0,260.0,3
1878,Hebbal,1920.0,3.0,134.0,3
1879,Hebbal,1337.0,2.0,82.0,2
1880,Hebbal,1349.0,2.0,98.0,2
1881,Hebbal,1255.0,2.0,77.68,3
1882,Hebbal,1355.0,3.0,83.87,3
1883,Hebbal,1790.0,3.0,127.0,3
1884,Hebbal,2790.0,5.0,198.0,4
1885,Hebbal,812.0,2.0,55.0,2
1886,Hebbal,2790.0,4.0,198.0,4
1887,Hebbal,3067.0,4.0,230.0,4
1888,Hebbal,3067.0,4.0,230.0,4
1889,Hebbal,1255.0,2.0,77.68,3
1890,Hebbal,823.0,2.0,50.63,2
1891,Hebbal,1069.0,3.0,65.4,3
1892,Hebbal,1420.0,2.0,99.39,2
1893,Hebbal,1700.0,3.0,124.0,3
1894,Hebbal,1420.0,2.0,99.39,2
1895,Hebbal,1355.0,3.0,83.87,3
1896,Hebbal,1440.0,2.0,115.0,2
1897,Hebbal,1355.0,3.0,83.87,3
1898,Hebbal,2400.0,4.0,180.0,3
1899,Hebbal,1255.0,2.0,77.68,3
1900,Hebbal,1420.0,2.0,107.0,2
1901,Hebbal,1320.0,2.0,92.0,2
1902,Hebbal,1645.0,3.0,135.0,3
1903,Hebbal,1355.0,3.0,83.87,3
1904,Hebbal,2600.0,3.0,195.0,3
1905,Hebbal,1645.0,3.0,117.0,3
1906,Hebbal,1251.0,2.0,88.73,2
1907,Hebbal,1645.0,3.0,121.0,3
1908,Hebbal,1760.0,3.0,123.0,3
1909,Hebbal,2790.0,4.0,198.0,4
1910,Hebbal,1645.0,3.0,120.0,3
1911,Hebbal,1255.0,2.0,90.0,3
1912,Hebbal,1645.0,3.0,117.0,3
1913,Hebbal,1255.0,3.0,77.68,3
1914,Hebbal,1636.0,3.0,119.0,3
1915,Hebbal,3894.0,2.0,226.5,3
